GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.cmp.compat,ChannelCompatibilityCheck,7,41,2,6,2,10,3,3,1,1
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.cmp.compat,ChannelItemCompatibilityCheck,3,21,2,2,1,7,3,1,1,1
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.cmp.compat,MessageCompatibilityCheck,6,51,4,8,2,14,5,3,1,1
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.cmp.compat,SchemaCompatibilityCheck,31,156,13,30,10,47,10,19,1,6
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.cmp.compat,OperationCompatibilityCheck,6,23,1,5,2,7,2,3,1,1
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.util,StringUtils,3,10,0,4,1,1,1,3,1,1
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.util,AccessHelper,58,176,16,22,14,39,14,6,0,1
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,SecurityRequirement,187,0,0,0,16,0,28,0,28,0
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Contact,8,24,0,0,1,5,1,7,1,7
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Components,113,158,0,0,1,21,22,18,22,18
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,MessageBinding,23,0,0,0,5,0,6,0,6,0
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Operation,67,88,0,0,5,13,11,21,11,21
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Tag,24,17,0,0,3,4,5,5,5,5
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,OperationReply,32,0,0,0,6,0,8,0,8,0
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,AsyncApi,45,79,0,0,3,11,7,17,7,17
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,MessageExample,16,25,0,0,3,4,3,7,3,7
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,OperationReplyAddress,32,0,0,0,6,0,8,0,8,0
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Channel,98,44,0,0,8,9,21,7,21,7
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Version.Versions,61,0,4,0,11,0,5,0,3,0
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Parameter,24,17,0,0,3,4,5,5,5,5
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,ServerVariable,19,41,0,0,1,8,3,9,3,9
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,ServerBinding,23,0,0,0,5,0,6,0,6,0
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,Server,81,69,0,0,8,10,15,17,15,17
io.github.siom79.jasyncapicmp:jasyncapicmp,jasyncapicmp.model,OAuthFlows,41,0,0,0,7,0,10,0,10,0
